被评人工号,一级组织,二级组织,三级组织,四级组织,五级组织,六级组织,被评人问卷,关系,评估人工号,理解公司战略并洞察本领域的内外部环境，识别风险点和挖掘业务增长的机会点,根据年度战略规划进行系统思考，梳理本部门的策略和重点工作事项，并制定具体可执行的计划,根据部门重点工作目标和资源现状，平衡效益和风险，在工作中做出正确判断和行动，快速推动战略落地,主动识别和记录业务管理中遇到的问题和挑战，创造性地提出改进设想并推动落地,在日常工作中，积极采取新措施和尝试新方法，持续提升工作效率,积极倾听部门成员的创新想法，建立激励机制，奖励成功实施创新想法的个人或团队，同时认可那些虽未成功但勇于尝试的创新行为,主动地学习、理解和尊重不同文化，持续提升自身的国际化视野,认识到不同视角、立场或文化带来的价值和风险，结合对各地区差异的理解，形成合理的管理机制,有效地发挥跨部门影响力，链接跨部门资源，推进复杂问题的解决,把响应客户需求作为首要任务，积极倾听，快速响应内外部客户的需求,帮助内外部客户解决问题，确保最终的产品或服务让客户满意,深入洞察，持续跟踪内外部客户需求及满足情况，建立稳定良好的客户关系,主动探索和学习本领域相关的数字化技术、AI等，引入至部门工作中，有效提升工作效率,积极参与公司数字化项目，助力公司数字化变革成功,根据部门目标，制定部门内部及跨部门的工作流程和沟通协作机制，促进工作高效开展,梳理部门成员能力现状，合理规划人才队伍，建立人才梯队,为部门设立高绩效标准，通过授权、激励、辅导等形式，挖掘员工潜力，带领部门持续打胜仗,在部门内营造良好的学习氛围，结合部门需求与员工的发展意愿，为团队成员提供多样的学习和挑战机会,对员工表现给予及时反馈，表扬优秀与进步，对于不足之处提供合理的改进建议，从而帮助员工持续提升工作表现与能力,主动识别需要完成的任务并积极采取行动，不会被动等待他人的要求,以结果为导向，并能够在过程中合理规划人力、时间、预算等各项资源，及时跟进落地情况，不断推动结果达成,深刻理解公司文化内涵，以身作则，积极践行并主动传播文化价值观，保持其日常行为与价值观导向高度一致,重视文化建设，关注员工体验，将部门日常工作与公司文化紧密结合，积极参与并推进文化传播活动，表彰积极践行文化的行为，在部门内营造良好的文化氛围,以坦诚精神、言出必行和公开透明的作风，建立与同事间的信赖和信任感，构建简单、互信、尊重、友爱的人际关系,自觉维护团结，能够顾全大局，多帮助多补位,树立“合规”意识，带头践行合规文化，将合规理念贯穿于日常经营行动的每一个环节,杜绝官僚主义作风，不拉帮结派，不搞权力斗争，不任人唯亲，不默认、纵容下属的任何迎合和奉承行为,树立道德高线，严守纪律底线,请列举2-3个您认为被评估人表现出色并值得他人学习的行为。,请指出2-3个您认为被评估人有可发展空间的方面，并提供具体的发展建议。,您对被评估人的其他建议？,司龄,年龄,直接下属人数,上一次晋升时间,一级序列,二级序列,去年年度绩效数据
10005614,风能事业部,客户服务中心,技术服务部,,,,执行层,协同方,10017296,4,5,4,5,4,5,4,5,4,5,4,5,,,,,,,,4,5,4,5,4,5,4,5,4,处理问题及时高效,暂无,暂无,11,33,9,,营销,服务-服务技术,B+
10005614,风能事业部,客户服务中心,技术服务部,,,,执行层,自己,10005614,4,5,5,5,5,5,4,4,5,5,5,4,5,5,5,5,4,5,5,5,4,4,5,5,5,5,5,5,善于发挥部门和个人长处推动问题快速闭环，减少客户端影响；同时较为主动思考部门标准化制定，提升部门工作输出质量；了解新数字化工具，提升部门工作效率，跨部门协作效率。,持续挖掘产品客户端应用痛点，创新提出产品优化建议,暂无,11,33,9,,营销,服务-服务技术,B+
10022546,光储集团,储能事业部,产品经营中心,电力储能产品部,海外产品部,,执行层,协同方,10023794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,34,11,,产品与研发,产品,A
10022546,光储集团,储能事业部,产品经营中心,电力储能产品部,海外产品部,,执行层,协同方,10021389,4,3,4,4,3,5,5,5,4,5,4,5,,,,,,,,4,4,3,3,3,4,5,4,5,"对工作堵点，能快速升级决策，推进项目进行
快速get问题核心，并给出积极的方案建议",暂无,暂无,3.9,34,11,,产品与研发,产品,A
10022546,光储集团,储能事业部,产品经营中心,电力储能产品部,海外产品部,,执行层,协同方,10018912,2,1,1,2,2,2,4,2,3,4,4,2,,,,,,,,2,3,4,2,3,4,5,4,5,无,注意格局提升、抓大放小、找到核心问题、表述简洁,注意格局提升、抓大放小、表述简洁、打破信息茧房、关注人的需求与状态,3.9,34,11,,产品与研发,产品,A
10022546,光储集团,储能事业部,产品经营中心,电力储能产品部,海外产品部,,执行层,协同方,10017791,4,4,5,4,4,4,5,5,4,5,4,4,,,,,,,,4,4,4,5,5,4,5,5,5,沟通、勤奋,领导力、,\,3.9,34,11,,产品与研发,产品,A
10022546,光储集团,储能事业部,产品经营中心,电力储能产品部,海外产品部,,执行层,协同方,10016721,3,4,3,4,3,3,5,4,4,5,5,4,,,,,,,,4,4,5,4,4,3,5,5,5,客户对接；重点攻关,团队管理；下属辅导,无,3.9,34,11,,产品与研发,产品,A
10022546,光储集团,储能事业部,产品经营中心,电力储能产品部,海外产品部,,执行层,协同方,10015878,5,4,5,4,4,4,5,5,5,5,5,4,,,,,,,,4,5,4,4,4,5,5,4,4,具备较强的国际视野，并且业务能力出众；,业务能力优秀，但是团队管理能力需要加强，实际情况下放手成长反而能够取到意想不到的收获；,业务能力优秀，得到上下游一致认可，但是团队创新管理方式上还需要优化，团队活力稍显不足；,3.9,34,11,,产品与研发,产品,A
10022546,光储集团,储能事业部,产品经营中心,电力储能产品部,海外产品部,,执行层,协同方,10013696,5,4,4,4,4,4,5,4,5,5,4,5,,,,,,,,4,4,4,5,4,4,5,5,5,乐于助人,更加关注区域业务的宏观情况，更多的参与战略制定,无,3.9,34,11,,产品与研发,产品,A
10022546,光储集团,储能事业部,产品经营中心,电力储能产品部,海外产品部,,执行层,协同方,10013049,4,5,4,4,4,4,4,3,3,4,5,4,,,,,,,,4,4,4,4,4,4,4,4,4,客户需求识别高效,暂无,暂无,3.9,34,11,,产品与研发,产品,A
10022546,光储集团,储能事业部,产品经营中心,电力储能产品部,海外产品部,,执行层,协同方,10019447,3,5,4,3,3,3,5,4,4,4,5,4,,,,,,,,5,3,5,3,5,4,5,5,5,协调能力，沟通能力强,市场思维及客户思维可再提升,无,3.9,34,11,,产品与研发,产品,A
10022546,光储集团,储能事业部,产品经营中心,电力储能产品部,海外产品部,,执行层,协同方,10011959,4,3,4,3,3,3,5,3,4,4,5,5,,,,,,,,4,3,5,3,3,4,4,5,5,主动地学习、理解和尊重不同文化，具备较好的国际化视野。,深入洞察竞品及场景，精准提升产品竞争力。,无,3.9,34,11,,产品与研发,产品,A
10022546,光储集团,储能事业部,产品经营中心,电力储能产品部,海外产品部,,执行层,协同方,10022840,4,5,5,4,5,5,5,5,4,5,4,5,,,,,,,,5,5,5,4,5,5,5,4,5,"统筹协调能力突出，能跨部门联动、整合资源解决问题
国际化视野宽阔，文化尊重优异；","团队赋能和分层培养力度不足，对下属指导多、放手历练少
新知识、新政策钻研深度不够",优化授权管理，合理分工放权，给下属更多历练机会，同时做好过程督导与复盘。,3.9,34,11,,产品与研发,产品,A
10022546,光储集团,储能事业部,产品经营中心,电力储能产品部,海外产品部,,执行层,协同方,10007764,5,5,4,5,5,4,5,5,4,4,5,5,,,,,,,,5,4,5,5,5,5,4,5,5,"1、面对难题不退缩，遇到技术或流程上的复杂问题时，不抱怨不推诿，而是系统分析、积极尝试多种方案直到解决；
2、提出创新想法并推动落地，不止于提建议，还能拿出初步方案、争取资源、牵头测试，把“金点子”变成实际改进。",无,无,3.9,34,11,,产品与研发,产品,A
10022546,光储集团,储能事业部,产品经营中心,电力储能产品部,海外产品部,,执行层,协同方,10003745,4,4,4,4,4,3,4,5,5,5,5,5,,,,,,,,4,5,4,4,4,4,4,5,5,较强的项目推进能力,项目的平台化配置推进,无,3.9,34,11,,产品与研发,产品,A
10022546,光储集团,储能事业部,产品经营中心,电力储能产品部,海外产品部,,执行层,协同方,10003244,5,4,4,4,4,5,5,4,5,5,5,4,,,,,,,,4,4,5,4,4,4,5,4,4,业务覆盖区域广，工作负责，抗压能力强,适当进行放权，抓大放小,无,3.9,34,11,,产品与研发,产品,A
10005728,制造体系,亚太工厂,泰国公司,制造,仓储部,,执行层,上级,10026778,4,5,4,4,4,3,3,2,2,2,2,2,4,4,2,4,3,4,4,4,4,3,3,2,2,4,4,5,"1、工作细致；
2、做事有计划性、工作条理清晰。","1、更关注个人工作目标，对团队整体利益考虑不够全面。
2、在协调处理问题时，沟通效率和合作意识需进一步增强。",没有,10.9,36,8,,生产,仓储管理,A
10005728,制造体系,亚太工厂,泰国公司,制造,仓储部,,执行层,下级,10019658,5,5,5,5,5,4,4,5,4,5,5,4,5,4,5,4,5,5,5,5,4,4,4,5,4,5,4,4,1.แก้ปัญหาได้อย่างรวดเร็ว 2.ใส่ใจความเป็นอยู่ของพนักงาน,1.แนะนำวิธีแก้ปัญหาและอบรมในสิ่งที่เราไม่รู้อยู่เสมอชี้แนะการป้องกันและแนวทางป้องกันปัญหาเสมอ,โดยรวมถือว่าทุกอย่างดีหมดเพียงแค่ต้องเรียนรู้วัฒนธรรมไทยเพิ่มขึ้นเกี่ยวกับการทำงานของคนไทยและคนจีน,10.9,36,8,,生产,仓储管理,A
10005728,制造体系,亚太工厂,泰国公司,制造,仓储部,,执行层,下级,10037114,4,5,5,5,5,4,4,4,5,4,4,4,4,4,5,5,5,5,5,4,5,5,4,5,5,5,5,5,无论是部门内还是外部门的需求还是问题都能积极响应、及时解决,无,无,10.9,36,8,,生产,仓储管理,A
10005728,制造体系,亚太工厂,泰国公司,制造,仓储部,,执行层,下级,10040245,5,5,5,5,5,5,3,4,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,"Uphold high standards and discipline., Minimize bureaucracy, stay fair, avoid politics, and remain professional., Focus on results through effective planning and execution.",The individual is advised to clearly articulate their requirements.,No further comments.,10.9,36,8,,生产,仓储管理,A
10005728,制造体系,亚太工厂,泰国公司,制造,仓储部,,执行层,下级,10040330,5,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,3,4,3,4,4,3,4,4,4,"-ไอเดีย
-ความกล้าลองผิดลองถูก
-ความกล้าสื่อสาร เมื่อปัญหาเริ่มกระทบกับตนเอง","-การประเมินความเหมาะสมด้านการดำเนินงาน ให้สอดคล้องกับการดำเนินงานหลักของประเทศไทย เนื่องจากพนักงานส่วนใหญ่เป็นคนไทย 
",ไม่มี,10.9,36,8,,生产,仓储管理,A
10005728,制造体系,亚太工厂,泰国公司,制造,仓储部,,执行层,下级,10045506,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,1.They place great importance on rules and regulations in the workplace 2.They are committed to achieving the department's goals in all aspects,1.Learn about the cultural aspects of Thai employees and emphasize their mindset.  2.Try to use your mistakes as a lesson for future improvements,"Being open to different perspectives and listening to diverse viewpoints, and acknowledging differences in work principles and stressful situations, provides additional guidance to boost morale, create balance, and help overcome challenges from an entrepreneurial perspective",10.9,36,8,,生产,仓储管理,A
10005728,制造体系,亚太工厂,泰国公司,制造,仓储部,,执行层,下级,10045819,5,5,4,4,5,4,4,3,4,4,4,4,4,3,5,3,5,4,4,5,5,4,3,5,4,3,5,5,"In terms of work, they demonstrate excellent management skills and have practical ideas that can be effectively applied in real situations.
","There is room for improvement in understanding the cultural differences between Thai and Chinese working styles, and I would encourage greater flexibility and mutual understanding in cross-cultural collaboration. Additionally, communication could be delivered in a softer and more approachable manner to help create a more comfortable working environment.
",No,10.9,36,8,,生产,仓储管理,A
10005728,制造体系,亚太工厂,泰国公司,制造,仓储部,,执行层,协同方,10000717,3,3,3,2,3,3,4,3,2,2,2,2,,,,,,,,4,4,3,4,3,2,4,5,5,工作思考细致，积极主动追究根因,"提升跨部门团队协作
跳出本部门职责倾听他人需求，本土团队协同多引导少决策。",整个流程系统评估利弊,10.9,36,8,,生产,仓储管理,A
10005728,制造体系,亚太工厂,泰国公司,制造,仓储部,,执行层,协同方,10001548,4,4,3,3,3,3,3,3,2,4,3,4,,,,,,,,4,3,4,4,3,3,4,3,4,坚持底线行为。,多进行跨部门协同；多进行有效沟通，不要冲动。,暂无,10.9,36,8,,生产,仓储管理,A
10005728,制造体系,亚太工厂,泰国公司,制造,仓储部,,执行层,协同方,10012219,3,4,4,4,5,5,4,4,5,5,5,5,,,,,,,,4,4,5,4,4,4,4,5,5,"1、工作认真负责，部门榜样。激励团队成员，高效完成部门绩效。
2、维护团结，能够顾全大局，与各协作部门能够高效沟通，处理协作事项。
3、积极采取新措施和尝试新方法，持续提升工作效率。",无,无,10.9,36,8,,生产,仓储管理,A
10005728,制造体系,亚太工厂,泰国公司,制造,仓储部,,执行层,协同方,10014328,4,4,4,4,4,5,4,5,4,4,4,5,,,,,,,,4,5,4,4,4,5,5,4,4,主动识别需要完成的任务并积极采取行动，不会被动等待他人的要求,无,无,10.9,36,8,,生产,仓储管理,A
10005728,制造体系,亚太工厂,泰国公司,制造,仓储部,,执行层,协同方,10023227,1,2,2,2,2,1,2,2,2,3,2,2,,,,,,,,2,3,3,2,3,1,4,3,3,考虑合规性,组织建设思维，公司战略实现的理解需要加强；对于当下环境和业务的判断不够明晰，对于业务开展与跨部门协同急需加强,无,10.9,36,8,,生产,仓储管理,A
10005728,制造体系,亚太工厂,泰国公司,制造,仓储部,,执行层,协同方,10040531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,36,8,,生产,仓储管理,A
10005728,制造体系,亚太工厂,泰国公司,制造,仓储部,,执行层,协同方,10047338,3,3,3,4,3,3,3,3,4,3,3,4,,,,,,,,3,4,3,3,3,3,3,3,3,-,-,-,10.9,36,8,,生产,仓储管理,A
10005728,制造体系,亚太工厂,泰国公司,制造,仓储部,,执行层,自己,10005728,5,5,5,4,5,4,5,4,5,4,4,5,4,4,5,5,5,4,5,5,5,5,5,4,4,5,5,5,"1,执行力力度高
2，接地气，融合泰国当地文化
3，有始有终，不拖拉","1，性格冲动，需要学会掌控自己的天气
",无,10.9,36,8,,生产,仓储管理,A
10022546,光储集团,储能事业部,产品经营中心,电力储能产品部,海外产品部,,执行层,协同方,10000924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,34,11,,产品与研发,产品,A
10022546,光储集团,储能事业部,产品经营中心,电力储能产品部,海外产品部,,执行层,协同方,10000828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,34,11,,产品与研发,产品,A
10022546,光储集团,储能事业部,产品经营中心,电力储能产品部,海外产品部,,执行层,下级,10044405,3,2,3,2,3,1,2,3,2,3,3,3,2,3,3,3,3,3,4,2,3,4,3,4,3,3,4,5,1、能够很快的把握事项的核心 2、可以换位思考,1、合理规划人才队伍，建立人才梯队 2、深入洞察，持续跟踪内外部客户需求及满足情况,可以有效地发挥跨部门影响力，链接跨部门资源，推进复杂问题的解决,3.9,34,11,,产品与研发,产品,A
10022546,光储集团,储能事业部,产品经营中心,电力储能产品部,海外产品部,,执行层,下级,10037511,4,4,5,4,5,4,4,4,5,4,5,4,4,5,5,5,4,4,4,4,4,5,4,5,4,4,4,5,沟通能力,团队建设不足,无,3.9,34,11,,产品与研发,产品,A
10022546,光储集团,储能事业部,产品经营中心,电力储能产品部,海外产品部,,执行层,下级,10036370,5,5,5,5,4,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"1. 非常具备执行力，能够做到言出必行。
2. 有态度和立场，能够积极主动表达自己对于业务需求的态度。
3. 非常有原则，且尊重规则。",暂时无建议。,暂时无建议。,3.9,34,11,,产品与研发,产品,A
10022546,光储集团,储能事业部,产品经营中心,电力储能产品部,海外产品部,,执行层,下级,10035170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,34,11,,产品与研发,产品,A
10022546,光储集团,储能事业部,产品经营中心,电力储能产品部,海外产品部,,执行层,下级,10034659,4,4,5,4,4,5,5,5,5,4,4,4,4,5,5,4,4,5,4,4,5,4,4,4,5,5,5,5,不官僚主义，敢于杜绝形式主义，尊重并理解团队成员，能最大化激发部门成员的工作积极性与自驱力。,投入更多精力在部门成员扩张方面，随着前端团队规模扩张，适当加强本部门团队预期管理，确保足够人力资源应对人员流动带来的挑战。,暂无,3.9,34,11,,产品与研发,产品,A
10022546,光储集团,储能事业部,产品经营中心,电力储能产品部,海外产品部,,执行层,下级,10034657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,34,11,,产品与研发,产品,A
10022546,光储集团,储能事业部,产品经营中心,电力储能产品部,海外产品部,,执行层,下级,10029175,3,3,3,3,4,3,4,4,4,4,4,3,3,2,5,3,3,3,2,3,3,3,3,3,3,3,3,5,"1、工作认真；
2、调理清晰；","1、和员工互动较少；
2、数字化参与较少；",建议提升耐心、亲和力,3.9,34,11,,产品与研发,产品,A
10022546,光储集团,储能事业部,产品经营中心,电力储能产品部,海外产品部,,执行层,下级,10029086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,34,11,,产品与研发,产品,A
10022546,光储集团,储能事业部,产品经营中心,电力储能产品部,海外产品部,,执行层,下级,10028859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,34,11,,产品与研发,产品,A
10022546,光储集团,储能事业部,产品经营中心,电力储能产品部,海外产品部,,执行层,下级,10027091,4,4,4,4,4,3,4,3,4,4,4,4,4,4,5,3,4,4,4,4,4,4,4,4,4,4,4,4,跨部门管理、部门间协助相处值得学习,优化团队建设和管理,无,3.9,34,11,,产品与研发,产品,A
10022546,光储集团,储能事业部,产品经营中心,电力储能产品部,海外产品部,,执行层,下级,10025520,4,3,4,3,4,5,4,4,4,4,4,5,4,3,4,3,4,4,5,4,4,4,5,4,5,4,5,4,认真听下属的意见，鼓励团队成员团结友爱，重视团队文化，打破沟通避雷,项目进展可以更多的关注和深入,可以更多关注一下下面人员的梯队成长,3.9,34,11,,产品与研发,产品,A
10022546,光储集团,储能事业部,产品经营中心,电力储能产品部,海外产品部,,执行层,下级,10024532,2,3,3,3,3,3,2,3,3,4,3,3,3,2,2,2,2,2,3,2,2,3,3,2,3,3,3,4,.,.,.,3.9,34,11,,产品与研发,产品,A
10022546,光储集团,储能事业部,产品经营中心,电力储能产品部,海外产品部,,执行层,下级,10024038,4,4,5,5,5,5,4,4,5,5,5,5,4,4,4,4,4,4,4,5,4,5,4,5,4,5,5,4,"1. 逻辑清晰
2. 雷厉风行","1. 在已经出色的基础上继续增加组织领导能力
2. 更多出差当地，支持当地工作",无,3.9,34,11,,产品与研发,产品,A
10022546,光储集团,储能事业部,产品经营中心,电力储能产品部,海外产品部,,执行层,上级,10009176,4,4,4,5,3,4,5,3,5,5,5,5,3,3,5,3,3,4,3,4,5,5,3,5,5,4,5,5,执行力强，国际化视野。,需更加客观，更加坚韧。,暂无,3.9,34,11,,产品与研发,产品,A
10022517,光储集团,充电事业部,产品中心,研发中心,电力电子硬件部,,执行层,自己,10022517,5,5,4,3,4,4,4,3,4,5,4,4,4,4,4,4,4,2,3,4,4,3,2,4,4,3,4,4,"1. 跨部门积极献言，给于合理建议，推动产品性能更好
2. 关心员工状态，积极沟通",1. 跨地域人员分工与优化需要持续加强,无,3.9,32,12,,产品与研发,硬件,B+
10022517,光储集团,充电事业部,产品中心,研发中心,电力电子硬件部,,执行层,协同方,10046798,3,3,3,1,2,2,3,2,2,3,4,3,,,,,,,,4,3,3,2,4,3,4,2,4,目前没有发现突出点,暂没法评价,暂没法评价,3.9,32,12,,产品与研发,硬件,B+
10022517,光储集团,充电事业部,产品中心,研发中心,电力电子硬件部,,执行层,协同方,10042234,5,5,5,5,4,3,3,3,4,3,3,3,,,,,,,,3,3,4,2,3,3,3,3,4,积极响应,无,无,3.9,32,12,,产品与研发,硬件,B+
10022517,光储集团,充电事业部,产品中心,研发中心,电力电子硬件部,,执行层,协同方,10035486,5,4,4,4,4,4,5,4,4,3,4,4,,,,,,,,5,5,4,4,5,5,4,4,5,接触不多，暂无,接触不多，暂无,暂无,3.9,32,12,,产品与研发,硬件,B+
10022517,光储集团,充电事业部,产品中心,研发中心,电力电子硬件部,,执行层,协同方,10026770,3,4,4,4,3,5,4,4,3,4,5,4,,,,,,,,4,4,4,3,4,4,4,5,5,"1、以满足客户需求为准
2、响应及时",暂无,暂无,3.9,32,12,,产品与研发,硬件,B+
10022517,光储集团,充电事业部,产品中心,研发中心,电力电子硬件部,,执行层,协同方,10015940,4,4,4,4,5,4,4,4,4,4,5,5,,,,,,,,4,5,5,4,5,5,4,5,5,专业务实。,状态积极。,技术突破。,3.9,32,12,,产品与研发,硬件,B+
10022517,光储集团,充电事业部,产品中心,研发中心,电力电子硬件部,,执行层,协同方,10015760,5,5,5,4,3,4,3,3,4,4,4,3,,,,,,,,4,4,4,5,4,4,5,5,5,"1. 能够以身作则，在项目需要情况下带领团队成员一起赶进度。
2. 能够持续关注行业发展动态，提出自己的看法和洞察，并制定可执行的实现路径。","1. 需要持续推进部门的平台化，模块化规划和落地工作，
2. 硬件工程师作为开发流程的串联者，需要强化硬件工程师责任感，站出来牵头解决协同性问题。",无,3.9,32,12,,产品与研发,硬件,B+
10022517,光储集团,充电事业部,产品中心,研发中心,电力电子硬件部,,执行层,协同方,10014592,4,3,3,4,3,3,2,3,4,4,4,4,,,,,,,,4,3,2,2,4,3,5,5,5,主动积极协同其他部门共同解决问题,无,无,3.9,32,12,,产品与研发,硬件,B+
10022517,光储集团,充电事业部,产品中心,研发中心,电力电子硬件部,,执行层,协同方,10013915,4,3,4,3,3,4,4,4,4,4,5,4,,,,,,,,5,4,4,4,5,5,4,5,5,工作思路清晰,更多了解外部竞争对手动态，追赶并超越对手,推动团队预研,3.9,32,12,,产品与研发,硬件,B+
10022517,光储集团,充电事业部,产品中心,研发中心,电力电子硬件部,,执行层,协同方,10013912,3,4,4,4,3,4,4,3,4,4,4,4,,,,,,,,3,4,4,3,4,4,4,5,5,基本功扎实，主动积极,开阔视野，拥有战略思维,与结构紧密沟通，减少硬件及结构问题,3.9,32,12,,产品与研发,硬件,B+
10022517,光储集团,充电事业部,产品中心,研发中心,电力电子硬件部,,执行层,协同方,10006816,3,4,3,3,3,4,2,2,2,3,3,2,,,,,,,,3,4,5,5,4,4,5,5,5,不太清楚,与电气的协同,无,3.9,32,12,,产品与研发,硬件,B+
10022517,光储集团,充电事业部,产品中心,研发中心,电力电子硬件部,,执行层,下级,10042038,5,5,5,4,4,5,3,4,4,4,4,5,4,4,5,4,5,5,5,4,4,4,5,4,4,5,5,5,"1、能及时响应下面反馈的问题并给出解决方案
",无,无,3.9,32,12,,产品与研发,硬件,B+
10022517,光储集团,充电事业部,产品中心,研发中心,电力电子硬件部,,执行层,下级,10034880,4,4,4,5,4,3,4,3,3,4,4,4,4,5,3,4,3,4,4,4,5,4,4,4,4,4,3,4,技术扎实,适当的给工程师决定权,无,3.9,32,12,,产品与研发,硬件,B+
10022517,光储集团,充电事业部,产品中心,研发中心,电力电子硬件部,,执行层,下级,10033911,5,5,5,5,5,4,4,5,4,5,5,4,4,4,5,5,5,4,5,5,4,5,4,5,4,4,5,4,"1.技术能力优秀，有敏锐的洞察力，可以快速定位到问题原因；
2.涉猎广泛，对于整个硬件开发的全过程都能非常的熟悉",注意休息，劳逸结合，太拼命工作搞得身体状态很一般,注意休息，劳逸结合，太拼命工作搞得身体状态很一般,3.9,32,12,,产品与研发,硬件,B+
10022517,光储集团,充电事业部,产品中心,研发中心,电力电子硬件部,,执行层,下级,10027118,4,4,4,4,3,3,3,4,3,4,4,4,3,3,3,4,4,3,4,4,4,4,3,4,4,3,4,4,能做好部门任务管理登记和关键事项记录，并跟踪问题闭环,目前产品人员分配只满足了产品开发系列欠账，产品迭代和预研工作会关乎产品竞争力和研发项目开发周期。建议：1.跨部门协调资源看是否能把预研工作做好；2.同功率级需要关注竞争对手是否有性能更好的产品出现，需要提前布局产品迭代，维护品牌印象；,部门人员需要理清产品开发痛点，持续深耕痛点问题的解决方法，积累经验，为后续产品开发提供科学指导，能一次性把事情做对，避免事后补救,3.9,32,12,,产品与研发,硬件,B+
10022517,光储集团,充电事业部,产品中心,研发中心,电力电子硬件部,,执行层,下级,10025839,5,5,4,5,4,5,4,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,4,引导下级解决问题；难点问题能总结承担责任。,无,无,3.9,32,12,,产品与研发,硬件,B+
10022517,光储集团,充电事业部,产品中心,研发中心,电力电子硬件部,,执行层,下级,10022161,4,4,3,4,4,4,3,2,4,4,4,3,4,4,4,4,3,3,3,4,4,3,2,3,3,4,4,5,严谨,资源分配,无,3.9,32,12,,产品与研发,硬件,B+
10022517,光储集团,充电事业部,产品中心,研发中心,电力电子硬件部,,执行层,下级,10021366,4,4,4,4,4,3,3,4,3,3,2,2,3,3,3,4,3,3,3,3,3,2,4,3,3,3,4,3,无,无,无,3.9,32,12,,产品与研发,硬件,B+
10022517,光储集团,充电事业部,产品中心,研发中心,电力电子硬件部,,执行层,下级,10017068,5,4,5,4,4,5,5,4,5,4,5,5,4,5,4,5,5,4,4,5,5,4,5,5,5,5,5,5,无,无,无,3.9,32,12,,产品与研发,硬件,B+
10022517,光储集团,充电事业部,产品中心,研发中心,电力电子硬件部,,执行层,下级,10016903,5,5,5,5,5,5,5,4,4,5,5,5,4,3,5,5,5,5,5,5,5,4,3,5,5,4,5,5,责任心强、工作态度严谨细致、对交付产物审核充分、对技术问题追寻根本,无,无,3.9,32,12,,产品与研发,硬件,B+
10022517,光储集团,充电事业部,产品中心,研发中心,电力电子硬件部,,执行层,下级,10016832,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,无,无,无,3.9,32,12,,产品与研发,硬件,B+
10022517,光储集团,充电事业部,产品中心,研发中心,电力电子硬件部,,执行层,下级,10016831,3,3,3,3,3,3,4,3,4,3,4,4,4,4,3,4,3,4,3,4,3,4,4,4,4,4,4,4,工作严谨，考虑周全,适当放手,多组织内部学习、经验分享,3.9,32,12,,产品与研发,硬件,B+
10022517,光储集团,充电事业部,产品中心,研发中心,电力电子硬件部,,执行层,下级,10013913,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,以身作则，积极践行。,无。,无,3.9,32,12,,产品与研发,硬件,B+
10022517,光储集团,充电事业部,产品中心,研发中心,电力电子硬件部,,执行层,上级,10013919,4,4,3,3,4,3,2,4,3,4,4,4,3,3,3,4,4,3,3,4,4,4,3,4,4,4,4,5,工作主动积极，善于沟通，团队协作能力好,合理资源分配，提升团队效率；以结果导向，将技术落地；,无,3.9,32,12,,产品与研发,硬件,B+
10021621,光储集团,储能事业部,工商业储能产品线,产品开发部,,,执行层,自己,10021621,4,5,5,4,4,3,4,5,4,4,4,3,4,4,4,4,4,5,5,4,4,4,5,5,5,4,5,5,"1、自觉维护团结，能够顾全大局，多帮助多补位
2、建立与同事间的信赖和信任感，构建简单、互信、尊重、友爱的人际关系
3、根据年度战略规划进行系统思考，梳理本部门的策略和重点工作事项，并制定具体可执行的计划",未建立内部激励机制，奖励成功实施创新想法的个人或团队,积极推动部门内部员工的激励机制,4,31,4,,产品与研发,项目管理,B
10021621,光储集团,储能事业部,工商业储能产品线,产品开发部,,,执行层,协同方,10036768,4,4,4,4,4,5,3,4,5,4,4,5,,,,,,,,4,4,5,4,5,4,4,4,4,工作认真负责，响应及时。,对工商业产品在澳洲等区域的适配性（矿山微网，海岛等场景）投入更多精力,无,4,31,4,,产品与研发,项目管理,B
10021621,光储集团,储能事业部,工商业储能产品线,产品开发部,,,执行层,协同方,10029086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,31,4,,产品与研发,项目管理,B
